schema_version	position_id	category	name	initial_fen	moves	witness_move	expected_reason
1	edge-repetition-black	edge	Avoidable repetition for Black	rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1	g1f3 g8f6 f3g1 f6g8 g1f3 g8f6 f3g1	f6g8	REPETITION
1	edge-repetition-white	edge	Avoidable repetition for White	rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1	g8f6 f3g1 f6g8 g1f3 g8f6 f3g1 f6g8	g1f3	REPETITION
1	edge-forced-repetition-black	edge	Forced repetition for Black	6k1/7p/5Q2/8/8/8/8/6K1 w - - 0 1	f6f7 g8h8 f7f6 h8g8 f6f7 g8h8 f7f6	h8g8	REPETITION
1	edge-forced-repetition-white	edge	Forced repetition for White	1k6/8/8/8/8/2q5/P7/1K6 b - - 0 1	c3c2 b1a1 c2c3 a1b1 c3c2 b1a1 c2c3	a1b1	REPETITION
1	edge-fifty-material-white	edge	Material 50-move result for White	4k3/7p/8/8/8/8/P6R/4K3 w - - 99 1	-	h2h3	FIFTY_MOVE_LIMIT
1	edge-fifty-material-black	edge	Material 50-move result for Black	4k3/p6r/8/8/8/8/7P/4K3 b - - 99 1	-	h7h6	FIFTY_MOVE_LIMIT
1	edge-bare-king-white	edge	White creates a bare black king	4k3/8/8/8/3r4/4K3/8/3R4 w - - 0 1	-	e3d4	BARE_KING
1	edge-bare-king-black	edge	Black creates a bare white king	3r4/8/4k3/3R4/8/8/8/4K3 b - - 0 1	-	e6d5	BARE_KING
1	edge-dead-material-white	edge	White enters a known-dead material tie	4k3/8/8/8/3p4/4K3/7b/2B5 w - - 0 1	-	e3d4	DEAD_POSITION_MATERIAL
1	edge-dead-material-black	edge	Black enters a known-dead material tie	6b1/7B/4k3/3P4/8/8/8/4K3 b - - 0 1	-	e6d5	DEAD_POSITION_MATERIAL
1	edge-stalemate-black	edge	White stalemates Black with blocked material	k7/p7/P2K4/2Q5/8/8/8/8 w - - 0 1	-	c5c7	STALEMATE
1	edge-stalemate-white	edge	Black stalemates White with blocked material	8/8/8/8/2q5/p2k4/P7/K7 b - - 0 1	-	c4c2	STALEMATE
